type,price,profit,pair,scenario,timeframe,ema1,ema2
SELL,40.44,-4558.2250308933435,SOLUSDT,StochRSI,4h,14,26
BUY,32.27,,SOLUSDT,StochRSI,4h,14,26
SELL,31.91,-1250.0181117830361,SOLUSDT,StochRSI,4h,14,26
BUY,35.85,,SOLUSDT,StochRSI,4h,14,26
SELL,33.93,-5402.17583368512,SOLUSDT,StochRSI,4h,14,26
BUY,37.36,,SOLUSDT,StochRSI,4h,14,26
SELL,41.33,9741.871221441077,SOLUSDT,StochRSI,4h,14,26
BUY,41.93,,SOLUSDT,StochRSI,4h,14,26
SELL,41.49,-1220.8010551775078,SOLUSDT,StochRSI,4h,14,26
BUY,42.5,,SOLUSDT,StochRSI,4h,14,26
SELL,39.28,-7825.502931407129,SOLUSDT,StochRSI,4h,14,26
BUY,41.31,,SOLUSDT,StochRSI,4h,14,26
SELL,44.0,5963.58820664532,SOLUSDT,StochRSI,4h,14,26
BUY,31.68,,SOLUSDT,StochRSI,4h,14,26
SELL,31.5,-705.1537957162509,SOLUSDT,StochRSI,4h,14,26
BUY,32.69,,SOLUSDT,StochRSI,4h,14,26
SELL,33.0,798.8416938203882,SOLUSDT,StochRSI,4h,14,26
BUY,33.6,,SOLUSDT,StochRSI,4h,14,26
SELL,34.12,1402.4795533635042,SOLUSDT,StochRSI,4h,14,26
BUY,33.72,,SOLUSDT,StochRSI,4h,14,26
SELL,33.12,-1939.5810157585365,SOLUSDT,StochRSI,4h,14,26
BUY,33.58,,SOLUSDT,StochRSI,4h,14,26
SELL,32.84,-2322.954941922959,SOLUSDT,StochRSI,4h,14,26
BUY,33.52,,SOLUSDT,StochRSI,4h,14,26
SELL,32.72,-2445.653138459107,SOLUSDT,StochRSI,4h,14,26
BUY,30.84,,SOLUSDT,StochRSI,4h,14,26
SELL,28.86,-6189.523072864817,SOLUSDT,StochRSI,4h,14,26
BUY,30.86,,SOLUSDT,StochRSI,4h,14,26
SELL,31.64,2104.875704561229,SOLUSDT,StochRSI,4h,14,26
BUY,36.01,,SOLUSDT,StochRSI,4h,14,26
SELL,30.78,-13236.812613507747,SOLUSDT,StochRSI,4h,14,26
BUY,31.62,,SOLUSDT,StochRSI,4h,14,26
SELL,32.82,2816.107758077007,SOLUSDT,StochRSI,4h,14,26
BUY,14.2,,SOLUSDT,StochRSI,4h,14,26
SELL,13.35,-4892.393697838968,SOLUSDT,StochRSI,4h,14,26
