type,price,profit,pair,scenario,timeframe,ema1,ema2
SELL,84.23,-2469.8540004142706,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,87.19,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,87.3,-11.569232819092576,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,89.18,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,99.04,9028.660681486319,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,83.6,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,83.38,-369.9326590776036,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,88.19,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,83.2,-5297.164650795428,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,81.75,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,81.68,-194.3149436777312,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,82.16,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,81.16,-1165.5282112855348,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,80.9,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,79.95,-1113.4350208725664,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,83.61,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,85.73,2002.4946689620992,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,89.83,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,90.3,327.886871775263,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,90.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,99.23,8617.878528806177,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,102.67,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,100.4,-2222.490309735993,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,106.0,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,110.22,3545.6075241737854,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,112.33,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,135.72,19824.211332019346,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,132.83,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,131.51,-1311.3192566704674,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,119.87,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,117.24,-2668.854826472947,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,111.73,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,111.05,-836.1548210866022,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,112.74,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,109.96,-2888.4195561855304,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,105.68,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,103.01,-2878.72025354972,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,104.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,100.18,-4074.9534639894264,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,101.89,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,101.53,-498.44873609520437,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,104.51,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,100.15,-4334.044226067665,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,102.33,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,105.89,3211.3627288960415,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,107.75,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,102.49,-4991.194419385807,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,101.79,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,101.3,-586.7618852085143,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,100.71,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,96.53,-4025.5164150587516,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,99.22,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,98.04,-1193.8244676479226,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,98.94,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,98.77,-276.42902809008956,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,89.79,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,87.86,-2022.4548993277713,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,87.84,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,87.91,-52.18167301348876,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,70.83,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,66.9,-4907.037246317675,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,49.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,47.85,-2136.8336393557547,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,51.09,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,53.29,3300.5479898322374,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,54.35,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,51.16,-4959.1788223960175,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,51.6,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,50.16,-2273.453737425705,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,51.53,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,50.09,-2209.7701768211555,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,43.93,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,46.19,3657.864940194064,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,38.49,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,39.12,1148.6082219294185,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,40.28,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,39.4,-1810.8919008983794,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,29.5,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,28.41,-2917.882338148571,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,34.27,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.09,-6892.227111537606,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.58,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,30.98,-1352.330163422157,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,30.29,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,29.33,-2149.114141707556,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.68,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,34.36,5223.900640911452,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,36.62,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,40.69,7463.198500100101,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.66,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.84,-1944.0755336386064,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.98,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.7,-727.2147501361324,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.99,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.91,-278.53951268394303,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.76,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.96,341.0771457209339,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.8,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.34,-1093.6319880823285,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,35.4,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,37.79,4744.479822997906,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,38.36,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,37.07,-2679.8635252316017,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,34.6,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,36.68,4334.58833362491,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,39.4,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,38.83,-1240.181992867001,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,41.63,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,43.41,3180.9239863859984,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,43.29,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,40.2,-5829.127743393605,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,40.77,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,38.71,-3856.7987552260165,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,36.67,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,41.89,9925.56982500905,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,42.35,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,42.85,835.8379107561486,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,40.17,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,39.79,-881.5636429760925,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,40.33,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,40.99,1201.3533078355977,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,41.36,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,42.74,2604.5997518538497,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,44.39,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,45.2,1416.5047398344614,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,43.14,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,40.93,-4499.901067899307,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,36.58,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,34.89,-3856.0628625250683,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,35.28,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,34.84,-1070.400063858382,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,35.84,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,35.06,-1762.55581006367,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.53,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,30.88,-1636.4478909279424,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.31,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.11,-551.850964631245,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.56,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.23,-855.4431120051449,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.28,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.44,264.73601740709273,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.86,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,30.89,-2278.737075263649,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.4,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,34.5,4393.067919951325,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,34.85,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,34.63,-568.2589617434278,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,35.31,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,35.41,104.57046659989282,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.63,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.38,-663.4266590832267,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.62,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.77,-1991.8311161297897,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.55,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.04,-1239.2850155464985,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.76,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,31.74,-140.7851228019863,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.69,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.22,-1061.9255719755747,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.38,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.63,-1625.798021659779,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.33,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.25,-252.76419376426202,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.89,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.68,1498.0919721450773,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,33.87,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.47,-894.8106183178315,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.96,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.7,-620.9035369283956,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.54,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,30.17,-2969.0601818962605,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,29.94,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,29.9,-173.1509775132581,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,27.98,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,28.4,858.459658080079,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,31.62,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,30.85,-1646.5631858154738,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.32,398.29437279076956,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,34.03,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.55,-2814.3052797374476,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.9,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,32.4,-993.9421633646562,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,32.19,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,33.78,2826.1465308206243,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,17.33,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,15.98,-4893.600505664057,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.13,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.66,-1969.693081156489,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.96,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.92,-234.05728073101636,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.23,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.1,-575.5545418443726,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.25,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.22,-189.52837874762918,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,12.89,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.12,5063.773681449391,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.22,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.14,-414.01209496412775,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.38,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.23,-692.2199878398533,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.25,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.07,-4868.068376986797,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.71,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.42,-1194.1949489629842,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.5,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.53,42.478724723274354,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.95,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.51,-1706.3770127948446,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.71,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.56,-618.2841714067399,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.61,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.57,-214.75401806387526,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.68,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.63,-249.09292757364892,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.64,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.48,-643.6326533797765,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.72,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.04,1060.396308930729,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,12.28,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,12.09,-834.0698912452644,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,9.82,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,9.8,-167.08294342165755,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,9.97,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.12,15233.535494794647,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.54,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.01,-2580.3648219517927,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.31,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,13.2,-590.2564213961014,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,13.47,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,16.13,11857.835853606499,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,16.59,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,15.96,-2847.5829825037217,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,16.46,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.99,27464.25244772673,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.91,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.2,-2897.6954036575626,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.78,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.48,-1269.8342198367172,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.2,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,23.83,-1547.864154676674,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.34,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.17,-764.7255358804541,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,26.01,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.02,-7045.339146447761,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,25.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.47,-2112.71997015737,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.57,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.48,-411.65760934492573,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.69,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.49,-768.4417856110958,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.71,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.3,-1441.4035276040522,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,23.54,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,23.13,-1480.3779422650114,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.68,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.77,227.74552627794037,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.81,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.56,6401.628244168212,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,23.17,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,25.2,7225.182403924191,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.35,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.03,-1323.7528642065154,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.63,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.71,191.39027408997936,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.64,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.45,-880.3713428780757,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,21.21,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.92,-1341.7979316246347,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,18.48,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,17.07,-6812.173157435958,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,17.92,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,19.24,5843.599332488884,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.01,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.47,6204.811825093289,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.08,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.3,795.449964318701,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.8,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.3,-2186.044622692876,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.59,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.1,-6164.29092904627,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,21.83,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.73,-510.6341291945864,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.82,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.61,-974.7188657849183,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.5,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.49,-158.46093814214692,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.75,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.55,-924.2228670553886,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.84,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.78,-354.3983658970392,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.6,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.15,-1916.3835064952582,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.28,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.17,-549.6269296483224,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.56,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.22,14124.933608066203,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,24.53,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.73,635.2199024709989,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,25.12,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,24.68,-1791.7752662111307,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,21.58,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.11,-2154.1192141942447,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,21.8,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.09,-3083.6649148929864,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.1,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,22.19,234.22967668483034,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.2,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.41,-3252.2693766729935,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.23,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.79,-1794.8008826674486,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.86,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.91,-3560.8497558289673,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,22.44,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.66,-2868.78536264821,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.74,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.68,-328.39214343973435,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,21.07,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.88,-793.3192067360942,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.99,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.21,-2905.6155840301944,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,19.86,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,19.46,-1560.699336343343,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,19.34,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.51,4189.183856822914,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.86,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.71,-645.0421420615603,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.77,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,20.68,-426.819611261104,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,20.98,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,21.6,2083.1931951858132,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,19.12,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,18.29,-3409.3638441659277,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,15.76,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,15.5,-1300.8537812395516,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,15.47,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.95,-2499.3190069418197,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,15.16,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.18,-4549.3879515283115,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,14.85,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,14.67,-870.0474434417847,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,15.25,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,15.53,1076.416753150661,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,15.67,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,16.93,5099.577348362669,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,17.08,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,16.64,-1891.5589323379681,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,17.11,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,16.75,-1520.4197506767814,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,16.68,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,16.39,-1244.322217987763,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,17.59,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,18.28,2458.216860729677,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,18.63,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,19.11,1643.151277579993,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,19.29,,SOLUSDT,StochRSI_TRIX,1h,14,26
SELL,19.18,-490.7679054625769,SOLUSDT,StochRSI_TRIX,1h,14,26
BUY,19.59,,SOLUSDT,StochRSI_TRIX,1h,14,26
