type,scenario,backtest_pair,ema_periods,price,profit,timeframe
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",4.2351,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",4.2186,-52.025298695003585,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",4.316,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",4.2058,-263.11663071794646,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",4.4292,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",6.157,3694.92386556167,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",6.1918,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",6.2505,106.6064238489671,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",6.6617,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",9.2524,5154.538603439303,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",8.912,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",8.0242,-1863.777047963591,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",9.0801,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",10.4325,2447.4495814250367,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",10.654,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",9.7201,-1695.004793014501,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",13.8677,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",16.2506,2955.21545969239,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.4699,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",13.7634,-1019.1500127499166,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",13.6679,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",13.2511,-614.7424463544703,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",13.5923,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.0753,636.9040826170203,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",15.7535,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.421,-1659.1228472772455,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",15.0,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.7932,-267.8959745908687,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.48,nan,1h
